X,id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,
,24,YEM-2011-1-784-54,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-06-05,  Qaeda ambushes kill 9 soldiers in Yemen: military",,,,A military official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,06/04/2011 00:00:00,06/04/2011 00:00:00,3,0,0,0,3,3,3,
,25,YEM-2009-1-784-3,2009,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,1,"""HRW,2013-10-01,“BETWEEN A DRONE AND AL-QAEDA”""",HRW,2013-10-01,“BETWEEN A DRONE AND AL-QAEDA”,A security source / A local Yemeni official,3,Al Maḩfid district,Al Maḩfid district (Al-Maajala village in),Abyan governorate,Al Maḩfid district,14.018470,46.755958,POINT (46.755958 14.018470),150214,Yemen (North Yemen),678,Middle East,1,1,12/17/2009 00:00:00,12/17/2009 00:00:00,0,14,41,0,55,59,55,
,27,YEM-2012-1-784-198,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-07-01, UPDATE 2-Two killed in Yemen as army pursues militants",,,,A local official,4,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ governorate,,13.922541,44.768270,POINT (44.768270 13.922541),149490,Yemen (North Yemen),678,Middle East,1,1,06/30/2012 00:00:00,06/30/2012 00:00:00,0,2,0,0,2,2,2,
,34,YEM-2010-1-784-5,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2010-01-20, Yemen says al Qaeda militant killed in clash",,,,State media,4,Laḩij governorate,Laḩij governorate,Laḩij governorate,,13.166667,44.583332,POINT (44.583332 13.166667),148770,Yemen (North Yemen),678,Middle East,1,1,01/19/2010 00:00:00,01/19/2010 00:00:00,0,1,0,0,1,1,1,
,35,YEM-2012-1-784-106,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-05-03, Saleh relative quits Yemen army, fighting flares",,,,A security official,1,Lawdar town,Lawdar town,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,05/03/2012 00:00:00,05/03/2012 00:00:00,0,5,0,0,5,5,5,
,36,YEM-2012-1-784-130,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-05-15, Anti-Qaeda sweep kills 53 across south Yemen",,,,Tribes,1,Lawdar town,Lawdar town,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,05/15/2012 00:00:00,05/15/2012 00:00:00,0,12,0,0,12,12,12,
,37,YEM-2012-1-784-105,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-05-03, Saleh relative quits Yemen army, fighting flares",,,,"Nazar Jaafar, a leader in an army-allied tribal force",2,Lawdar town,Lawdar town (near),Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,05/03/2012 00:00:00,05/03/2012 00:00:00,0,4,0,0,4,4,4,
,50,YEM-2012-1-784-124,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-05-14, Yemen battles rage, 37 Qaeda militants reported killed",,,,A tribal source,2,Shuqrah town,Shuqrah town (area),Abyan governorate,Khanfir district,13.356770,45.697085,POINT (45.697085 13.356770),148772,Yemen (North Yemen),678,Middle East,1,1,05/14/2012 00:00:00,05/14/2012 00:00:00,0,10,0,0,10,10,10,
,71,YEM-2011-1-784-158,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2011-10-22, Al-Qa'idah gunmen attack Yemeni army forces",,,,Saudi-owned leading pan-Arab daily Al-Sharq al-Awsat website on 21 October,1,Zinjibār town,Zinjibār town,Abyan governorate,Zinjibār district,13.128712,45.380728,POINT (45.380728 13.128712),148771,Yemen (North Yemen),678,Middle East,1,1,10/20/2011 00:00:00,10/20/2011 00:00:00,1,0,0,0,1,1,1,
,72,YEM-2011-1-784-141,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-09-15, UPDATE 2-Explosions shake Yemen capital, blasts in south",,,,A security official,2,Zinjibār town,Zinjibār town (near),Abyan governorate,Zinjibār district,13.128712,45.380728,POINT (45.380728 13.128712),148771,Yemen (North Yemen),678,Middle East,1,1,09/15/2011 00:00:00,09/15/2011 00:00:00,0,2,0,0,2,2,2,
,73,YEM-2010-1-784-20,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2010-06-19, 11 killed in suspected Qaeda attack in Yemen",,,,Officials,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,06/19/2010 00:00:00,06/19/2010 00:00:00,7,0,0,4,11,11,11,
,74,YEM-2012-1-784-122,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-05-14, Yemen battles rage, 37 Qaeda militants reported killed",,,,Yemeni official,2,Zinjibār town,Zinjibār town (near),Abyan governorate,Zinjibār district,13.128712,45.380728,POINT (45.380728 13.128712),148771,Yemen (North Yemen),678,Middle East,2,2,05/13/2012 00:00:00,05/14/2012 00:00:00,6,0,0,0,6,6,6,
,75,YEM-2011-1-784-35,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-04-29, Four killed in south Yemen violence",,,,Security officials,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/29/2011 00:00:00,04/29/2011 00:00:00,0,1,0,0,1,1,1,
,76,YEM-2011-1-784-74,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2011-06-24, Car bomb kills 3 security personnel in southern Yemeni port city of Aden, Reuters News, 2011-06-25, UPDATE 2-Yemenis pray for end to deadlock, blast rocks Aden",,,,Government source,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,06/24/2011 00:00:00,06/24/2011 00:00:00,4,1,1,0,6,6,6,
,77,YEM-2011-1-784-78,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-06-29, Army officer killed in Aden car bomb attack",,,,Security source,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,06/23/2011 00:00:00,06/23/2011 00:00:00,1,0,0,0,1,1,1,
,78,YEM-2011-1-784-97,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-07-24, UPDATE 2-Car bomb in Yemen's Aden kills 9 soldiers, injures 21",,,,Officials and medical sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,07/24/2011 00:00:00,07/24/2011 00:00:00,9,1,0,0,10,10,10,
,79,YEM-2011-1-784-125,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-09-03, Suicide bomber kills 3 Yemen troops in Aden: military",,,,A military official,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,09/03/2011 00:00:00,09/03/2011 00:00:00,3,1,0,0,4,4,4,
,80,YEM-2011-1-784-163,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-10-28, Yemenis demand Saleh's trial amid deadly violence",,,,Police,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,10/28/2011 00:00:00,10/28/2011 00:00:00,1,0,0,0,1,1,1,
,81,YEM-2011-1-784-145,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-09-27, UPDATE 1-Yemen defence minister survives suicide attack",,,,Officials,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,09/27/2011 00:00:00,09/27/2011 00:00:00,0,1,0,0,1,1,1,
,82,YEM-2011-1-784-156,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-10-11, Colonel, policeman killed in Yemen attacks",,,,Police,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,10/11/2011 00:00:00,10/11/2011 00:00:00,1,1,0,0,2,2,2,
,83,YEM-2011-1-784-159,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-10-24, Two Yemeni troops, 3 militants dead in Yemen clashes",,,,A security source,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,10/24/2011 00:00:00,10/24/2011 00:00:00,2,0,0,0,2,2,2,
,84,YEM-2012-1-784-58,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-03-30, Two dead in south Yemen attack blamed on Qaeda",,,,Tribal sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/30/2012 00:00:00,03/30/2012 00:00:00,1,0,0,1,2,2,2,
,86,YEM-2012-1-784-65,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2012-04-04, Yemeni Al-Islah Party official survives assassination attempt in Aden",,,,Opposition Yemeni Alliance for Reform newspaper Al-Sahwah website on 2 April,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/30/2012 00:00:00,03/30/2012 00:00:00,2,0,0,0,2,2,2,
,87,YEM-2012-1-784-68,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-04-06, Suicide blast near Yemen intelligence: ministry",,,,Defence ministry,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/06/2012 00:00:00,04/06/2012 00:00:00,0,2,0,0,2,2,2,
,88,YEM-2012-1-784-81,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-04-14, Qaeda attack kills 12 in Yemen's Aden: police",,,,Police,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/14/2012 00:00:00,04/14/2012 00:00:00,4,8,0,0,12,12,12,
,89,YEM-2012-1-784-189,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-06-18, Suicide bomber kills Yemen anti-Qaeda general",,,,Officials and medics,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,06/18/2012 00:00:00,06/18/2012 00:00:00,1,1,0,0,2,2,2,
,90,YEM-2012-1-784-231,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-09-22, UPDATE 1-Al Qaeda foe survives Yemen suicide bombing",,,,A security source and resident,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,09/22/2012 00:00:00,09/22/2012 00:00:00,0,1,0,0,1,1,1,
,91,YEM-2012-1-784-203,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Rueters News, 2012-07-19, Yemeni security official assassinated in Aden",,,,An official,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,07/19/2012 00:00:00,07/19/2012 00:00:00,1,0,0,0,1,1,1,
,92,YEM-2012-1-784-218,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2012-08-18, Death toll rises to 20 in Yemen's suspected al-Qaida attack on intelligence building",,,,Witnesses,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,08/18/2012 00:00:00,08/18/2012 00:00:00,19,0,1,0,20,20,20,
,93,YEM-2012-1-784-234,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-10-02, 3 Qaeda suspects plotting south Yemen attack killed in raid",,,,A security official,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,10/02/2012 00:00:00,10/02/2012 00:00:00,0,3,0,0,3,3,3,
,114,YEM-2012-1-784-252,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2012-12-03, Yemeni security seeks Al-Qa'idah-affiliated cell ""planning"" terrorist attack",,,,Official statements,2,Wādī Āl Abū Jubārah,Wādī Āl Abū Jubārah (valley),Şa‘dah governorate,Kitāf district,17.167168,44.251545,POINT (44.251545 17.167168),154529,Yemen (North Yemen),678,Middle East,1,1,11/28/2012 00:00:00,11/28/2012 00:00:00,0,3,0,0,3,3,3,
,117,YEM-2012-1-784-225,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-09-05, Drone strike kills 5 'Qaeda' militants: Yemen official",,,,A security official,1,Al ‘Ayn village,Al ‘Ayn village,Ḩaḑramawt governorate,Al ‘Abr district,16.000000,47.716667,POINT (47.716667 16.000000),153096,Yemen (North Yemen),678,Middle East,1,1,09/05/2012 00:00:00,09/05/2012 00:00:00,0,5,0,0,5,5,5,
,118,YEM-2010-1-784-4,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2010-01-15, Yemen Al-Qaeda chiefs killed in air attack: senior official",,,,A senior Yemeni official,1,Ajashir Knolls area,Ajashir Knolls area ,Şa‘dah governorate,Kitāf district,17.183333,44.800000,POINT (44.800000 17.183333),154530,Yemen (North Yemen),678,Middle East,1,1,01/15/2010 00:00:00,01/15/2010 00:00:00,0,6,0,0,6,6,6,
,123,YEM-2012-1-784-48,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-03-12, 7 Qaeda militants, 3 policemen killed in Yemen onslaught",,,,Security officials,4,al-Bayḑā’ governorate,al-Bayḑā’ governorate,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,03/13/2012 00:00:00,03/13/2012 00:00:00,0,5,0,0,5,5,5,
,125,YEM-2012-1-784-137,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2012-05-19, Suspected US drone strike kills 2 militants in Yemen, while clashes in the south leave 34 dead",,,,Yemeni officials,4,al-Bayḑā’ governorate,al-Bayḑā’ governorate,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,05/19/2012 00:00:00,05/19/2012 00:00:00,0,2,0,0,2,2,2,
,127,YEM-2012-1-784-82,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-04-15, Yemen air strike kills three Qaeda leaders: ministry",,,,Defence ministry,4,al-Bayḑā’ governorate,al-Bayḑā’ governorate,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,04/14/2012 00:00:00,04/14/2012 00:00:00,0,3,0,0,3,3,3,
,128,YEM-2012-1-784-205,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-07-20, Yemen intelligence officer shot dead: ministry",,,,The defence ministry,4,al-Bayḑā’ governorate,al-Bayḑā’ governorate,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,07/19/2012 00:00:00,07/19/2012 00:00:00,1,0,0,0,1,1,1,
